Winery,Year,Wine_ID,Wine,Rating,Reviews,Price,Region,Primary_Grape,Natural,Country,Style,Country_Code
Catena Zapata,2016,1868,Nicolás Catena Zapata 2016,4.6,1814,81.0,Mendoza,Malbec,False,Argentina,Red,ARG
François Lurton,2003,13610,Chacayes 2003,4.1,35,83.3,Mendoza,Malbec,False,Argentina,Red,ARG
Michelini i Mufatto,2018,9678243,La Cautiva Oleo 2018,3.5,25,83.6,Gualtallary,Malbec,False,Argentina,Red,ARG
Catena Zapata,2019,1555830,Adrianna Vineyard White Bones Chardonnay 2019,4.5,26,84.88,Mendoza,Malbec,False,Argentina,White,ARG
Cheval des Andes,2018,1926899,Mendoza 2018,4.5,78,84.9,Mendoza,Malbec,False,Argentina,Red,ARG
Catena Zapata,2018,5007190,Adrianna Vineyard Fortuna Terrae Malbec 2018,4.4,33,85.0,Mendoza,Malbec,False,Argentina,Red,ARG
Michelini i Mufatto,2016,6383254,La Cautiva 2016,4.4,112,85.5,Gualtallary,Malbec,False,Argentina,Red,ARG
Catena Zapata,2019,1869,Malbec Argentino 2019,4.5,155,86.5,Mendoza,Malbec,False,Argentina,Red,ARG
El Enemigo,2013,5441683,Gran Enemigo Single Vineyard El Cepillo Cabernet Franc 2013,4.5,345,92.4,San Carlos,Malbec,False,Argentina,Red,ARG
El Enemigo,2011,2926759,Gran Enemigo Single Vineyard Agrelo Cabernet Franc 2011,4.5,499,92.4,Agrelo,Malbec,False,Argentina,Red,ARG
El Enemigo,2013,2926759,Gran Enemigo Single Vineyard Agrelo Cabernet Franc 2013,4.5,1811,92.4,Agrelo,Malbec,False,Argentina,Red,ARG
El Enemigo,2014,5441683,Gran Enemigo Single Vineyard El Cepillo Cabernet Franc 2014,4.5,1091,92.4,San Carlos,Malbec,False,Argentina,Red,ARG
El Enemigo,2017,3125433,Gran Enemigo Single Vineyard Gualtallary Cabernet Franc 2017,4.7,310,93.0,Gualtallary,Malbec,False,Argentina,Red,ARG
Zuccardi,2015,4314633,Finca Piedra Infinita 2015,4.4,551,105.5,Paraje Altamira,Malbec,False,Argentina,Red,ARG
PerSe,2016,2890451,Iubileus Gualtallary 2016,4.5,45,107.91,Gualtallary,Malbec,False,Argentina,Red,ARG
Catena Zapata,2018,5745097,Adrianna Vineyard White Stones Chardonnay 2018,4.3,107,115.0,Mendoza,Malbec,False,Argentina,White,ARG
El Enemigo,2016,5441681,Gran Enemigo Single Vineyard Chacayes Cabernet Franc 2016,4.6,1390,121.0,Tunuyán,Malbec,False,Argentina,Red,ARG
El Enemigo,2016,2926759,Gran Enemigo Single Vineyard Agrelo Cabernet Franc 2016,4.7,2157,121.0,Agrelo,Malbec,False,Argentina,Red,ARG
